wav_id,label
5f4141e29dd513131eacee2f,happiness
5f4141f59dd513131eacee30,happiness
5f4142119dd513131eacee31,happiness
5f4142279dd513131eacee32,happiness
5f3c9ed98a3c1005aa97c4bd,happiness
5f3c9ef78a3c1005aa97c4be,happiness
5f3c9f658a3c1005aa97c4c7,sadness
5f3c9f808a3c1005aa97c4c8,happiness
5f3c9f9c8a3c1005aa97c4cb,neutral
5f3c9fcc8a3c1005aa97c4ce,neutral
5f3ca01b8a3c1005aa97c4d3,sadness
5f3ca06b8a3c1005aa97c4da,sadness
5f3ca09d8a3c1005aa97c4df,sadness
5f3ca4778a3c1005aa97c50d,angry
5f3ca4a28a3c1005aa97c510,angry
5f3ca4cf8a3c1005aa97c515,angry
5f4142459dd513131eacee33,happiness
5f41426d9dd513131eacee35,sadness
5f4142819dd513131eacee36,sadness
5f41429f9dd513131eacee37,sadness
5f4142c09dd513131eacee38,sadness
5f4142e09dd513131eacee39,sadness
5f4143a89dd513131eacee3b,surprise
5f4143c09dd513131eacee3c,surprise
5f4143e09dd513131eacee3d,neutral
5f4143fa9dd513131eacee3e,sadness
5f4144189dd513131eacee3f,neutral
5f41443c9dd513131eacee41,happiness
5f4144529dd513131eacee42,happiness
5f41446c9dd513131eacee43,happiness
5f4144ad9dd513131eacee45,happiness
5f4144c69dd513131eacee46,happiness
5f4144f69dd513131eacee48,sadness
5f41450c9dd513131eacee49,sadness
5f4145279dd513131eacee4a,sadness
5f4145429dd513131eacee4b,sadness
5f41455d9dd513131eacee4c,sadness
5f4145859dd513131eacee4e,surprise
5f4145989dd513131eacee4f,surprise
5f4145b89dd513131eacee50,surprise
5f4145f69dd513131eacee52,neutral
5f41461a9dd513131eacee53,neutral
5f41463e9dd513131eacee55,disgust
5f4146589dd513131eacee56,sadness
5f41467a9dd513131eacee57,disgust
5f41469c9dd513131eacee58,surprise
5f4146b99dd513131eacee59,neutral
5f4146db9dd513131eacee5b,disgust
5f4146f39dd513131eacee5c,disgust
5f4147089dd513131eacee5d,disgust
5f4147209dd513131eacee5e,disgust
5f41473b9dd513131eacee5f,sadness
5f4147619dd513131eacee61,happiness
5f4147779dd513131eacee62,neutral
5f4147969dd513131eacee63,happiness
5f4147ae9dd513131eacee64,happiness
5f4147dc9dd513131eacee65,happiness
5f41487d9dd513131eacee74,neutral
5f4148959dd513131eacee75,neutral
5f4148b09dd513131eacee76,neutral
5f4148cd9dd513131eacee77,happiness
5f4148ed9dd513131eacee78,happiness
5f4149139dd513131eacee7a,happiness
5f4149299dd513131eacee7b,happiness
5f4149479dd513131eacee7c,happiness
5f41495e9dd513131eacee7d,happiness
5f4149779dd513131eacee7e,happiness
5f41499c9dd513131eacee80,sadness
5f414a0b9dd513131eacee83,sadness
5f414a289dd513131eacee84,sadness
5f414a419dd513131eacee85,happiness
5f414a679dd513131eacee87,angry
5f414a7c9dd513131eacee88,angry
5f414a9b9dd513131eacee89,angry
5f414ac39dd513131eacee8a,disgust
5f414ae39dd513131eacee8b,sadness
5f414b109dd513131eacee8d,fear
